Time(S),Raw_Current(A),Denoised_Current(A)
28.4,-2.8469e-06,-2.9545e-06
28.5,-3.0562e-06,-2.8469e-06
28.6,-2.2212e-06,-2.6802e-06
28.7,-2.5462e-06,-2.5462e-06
28.8,-2.6802e-06,-2.2244e-06
28.9,-1.901e-06,-2.3552e-06
29.0,-2.2244e-06,-2.3552e-06
29.1,-2.3552e-06,-2.297e-06
29.2,-2.5928e-06,-2.3552e-06
29.3,-2.297e-06,-2.3552e-06
29.4,-2.4455e-06,-2.297e-06
29.5,-2.1266e-06,-2.297e-06
29.6,-1.8976e-06,-2.1266e-06
29.7,-2.3753e-06,-2.1266e-06
29.8,-2.0026e-06,-2.1916e-06
29.9,-2.4043e-06,-2.3753e-06
30.0,-2.1916e-06,-2.272e-06
30.1,-2.6961e-06,-2.4043e-06
30.2,-2.272e-06,-2.272e-06
30.3,-2.7201e-06,-2.272e-06
30.4,-1.8723e-06,-2.272e-06
30.5,-2.1542e-06,-2.6496e-06
30.6,-2.7596e-06,-2.367e-06
30.7,-2.6496e-06,-2.367e-06
30.8,-2.367e-06,-2.6496e-06
30.9,-2.1675e-06,-2.6136e-06
31.0,-3.0882e-06,-2.4454e-06
31.1,-2.6136e-06,-2.4539e-06
31.2,-2.4454e-06,-2.4539e-06
31.3,-2.4539e-06,-2.4539e-06
31.4,-2.3033e-06,-2.4539e-06
31.5,-2.5889e-06,-2.4854e-06
31.6,-2.5044e-06,-2.4854e-06
31.7,-2.4854e-06,-2.4854e-06
31.8,-2.4277e-06,-2.4328e-06
31.9,-2.1232e-06,-2.4328e-06
32.0,-2.4328e-06,-2.4277e-06
32.1,-2.4446e-06,-2.4328e-06
32.2,-2.1704e-06,-2.4446e-06
32.3,-2.6794e-06,-2.4446e-06
32.4,-2.4875e-06,-2.4875e-06
32.5,-2.3754e-06,-2.6794e-06
32.6,-2.7026e-06,-2.4875e-06
32.7,-2.7376e-06,-2.3754e-06
32.8,-2.1703e-06,-2.1914e-06
32.9,-2.1914e-06,-2.1914e-06
33.0,-2.0745e-06,-2.1914e-06
33.1,-2.2507e-06,-2.2507e-06
33.2,-2.6698e-06,-2.2788e-06
33.3,-2.5716e-06,-2.5716e-06
33.4,-2.2788e-06,-2.5716e-06
33.5,-2.7055e-06,-2.5716e-06
33.6,-2.2478e-06,-2.4577e-06
33.7,-2.7071e-06,-2.6647e-06
33.8,-2.4577e-06,-2.5743e-06
33.9,-2.6647e-06,-2.6099e-06
34.0,-2.5743e-06,-2.5743e-06
34.1,-2.6099e-06,-2.5743e-06
34.2,-2.2557e-06,-2.5655e-06
34.3,-2.5655e-06,-2.3604e-06
34.4,-1.9382e-06,-2.3604e-06
34.5,-2.3604e-06,-2.4939e-06
34.6,-2.4939e-06,-2.3604e-06
34.7,-2.7368e-06,-2.4939e-06
34.8,-1.7866e-06,-2.6564e-06
34.9,-2.6564e-06,-2.6564e-06
35.0,-2.6828e-06,-2.4401e-06
35.1,-2.1195e-06,-2.4401e-06
35.2,-2.4401e-06,-2.3842e-06
35.3,-2.3842e-06,-2.3063e-06
35.4,-2.3063e-06,-2.3842e-06
35.5,-2.1904e-06,-2.3063e-06
35.6,-2.5198e-06,-2.3063e-06
35.7,-2.3029e-06,-2.3029e-06
35.8,-3.0802e-06,-2.5198e-06
35.9,-2.2562e-06,-2.7269e-06
36.0,-2.7269e-06,-2.7269e-06
36.1,-2.8124e-06,-2.5708e-06
36.2,-2.5708e-06,-2.5708e-06
36.3,-2.1705e-06,-2.5697e-06
36.4,-2.4342e-06,-2.5697e-06
36.5,-2.5697e-06,-2.5697e-06
36.6,-3.1921e-06,-2.5833e-06
36.7,-2.5833e-06,-2.5833e-06
36.8,-2.5914e-06,-2.5914e-06
36.9,-2.0034e-06,-2.5833e-06
37.0,-3.0304e-06,-2.5162e-06
37.1,-2.0521e-06,-2.268e-06
37.2,-2.5162e-06,-2.4696e-06
37.3,-2.268e-06,-2.4696e-06
37.4,-2.4696e-06,-2.5162e-06
37.5,-2.5761e-06,-2.4696e-06
37.6,-2.6824e-06,-2.5665e-06
37.7,-2.1811e-06,-2.5665e-06
37.8,-2.5665e-06,-2.5665e-06
37.9,-2.3497e-06,-2.3497e-06
38.0,-2.9773e-06,-2.5665e-06
38.1,-2.1916e-06,-2.4341e-06
38.2,-2.7907e-06,-2.4411e-06
38.3,-2.4341e-06,-2.4411e-06
38.4,-2.4411e-06,-2.4871e-06
38.5,-2.4871e-06,-2.4411e-06
38.6,-2.528e-06,-2.4871e-06
38.7,-2.1128e-06,-2.528e-06
38.8,-2.5536e-06,-2.5536e-06
38.9,-2.8304e-06,-2.6572e-06
39.0,-2.7012e-06,-2.6572e-06
39.1,-2.6572e-06,-2.7012e-06
39.2,-2.5749e-06,-2.6572e-06
39.3,-2.7655e-06,-2.6572e-06
39.4,-2.3968e-06,-2.697e-06
39.5,-2.697e-06,-2.697e-06
39.6,-2.7064e-06,-2.697e-06
39.7,-2.3831e-06,-2.7064e-06
39.8,-3.0456e-06,-2.7064e-06
39.9,-2.833e-06,-2.3831e-06
40.0,-2.0223e-06,-2.1929e-06
40.1,-2.1929e-06,-2.1929e-06
40.2,-2.0197e-06,-2.0404e-06
40.3,-3.082e-06,-2.1929e-06
40.4,-2.0404e-06,-2.2619e-06
40.5,-2.2619e-06,-2.2817e-06
40.6,-2.4994e-06,-2.2817e-06
40.7,-2.2817e-06,-2.2817e-06
40.8,-2.7174e-06,-2.4994e-06
40.9,-2.1337e-06,-2.6473e-06
41.0,-2.661e-06,-2.6473e-06
41.1,-2.6473e-06,-2.6224e-06
41.2,-2.0866e-06,-2.6224e-06
41.3,-2.6224e-06,-2.2477e-06
41.4,-2.2477e-06,-2.2477e-06
41.5,-1.9443e-06,-2.2477e-06
41.6,-2.3525e-06,-2.2477e-06
41.7,-1.8109e-06,-2.3525e-06
41.8,-2.9248e-06,-2.3585e-06
41.9,-2.5538e-06,-2.3672e-06
42.0,-2.3585e-06,-2.3672e-06
42.1,-2.3672e-06,-2.3672e-06
42.2,-2.1491e-06,-2.3585e-06
42.3,-2.5266e-06,-2.3672e-06
42.4,-2.1341e-06,-2.2117e-06
42.5,-2.6535e-06,-2.2537e-06
42.6,-2.2117e-06,-2.2537e-06
42.7,-2.2537e-06,-2.2888e-06
42.8,-2.9399e-06,-2.2888e-06
42.9,-2.2888e-06,-2.5603e-06
43.0,-2.6688e-06,-2.5603e-06
43.1,-2.5603e-06,-2.5603e-06
43.2,-2.1628e-06,-2.6688e-06
43.3,-3.0639e-06,-2.5603e-06
43.4,-3.1373e-06,-2.7575e-06
43.5,-2.2327e-06,-2.7575e-06
43.6,-2.7575e-06,-2.4567e-06
43.7,-2.4567e-06,-2.4567e-06
43.8,-2.2909e-06,-2.4567e-06
43.9,-2.4607e-06,-2.4567e-06
44.0,-1.6599e-06,-2.3951e-06
44.1,-2.6858e-06,-2.4607e-06
44.2,-2.3951e-06,-2.5202e-06
44.3,-2.5812e-06,-2.5784e-06
44.4,-2.5202e-06,-2.5784e-06
44.5,-2.5784e-06,-2.5784e-06
44.6,-2.6017e-06,-2.5202e-06
