Time(S),Denoised_Current(A),Pseudo_Label(1=周期)
33.8,-2.5743e-06,1.0
33.9,-2.6099e-06,1.0
34.0,-2.5743e-06,1.0
34.1,-2.5743e-06,1.0
34.2,-2.5655e-06,1.0
34.3,-2.3604e-06,0.0
34.4,-2.3604e-06,0.0
34.5,-2.4939e-06,0.0
34.6,-2.3604e-06,1.0
34.7,-2.4939e-06,1.0
34.8,-2.6564e-06,1.0
34.9,-2.6564e-06,1.0
35.0,-2.4401e-06,1.0
35.1,-2.4401e-06,1.0
35.2,-2.3842e-06,1.0
35.3,-2.3063e-06,0.0
35.4,-2.3842e-06,0.0
35.5,-2.3063e-06,0.0
35.6,-2.3063e-06,0.0
35.7,-2.3029e-06,1.0
35.8,-2.5198e-06,1.0
35.9,-2.7269e-06,1.0
36.0,-2.7269e-06,1.0
36.1,-2.5708e-06,1.0
36.2,-2.5708e-06,1.0
36.3,-2.5697e-06,1.0
36.4,-2.5697e-06,1.0
36.5,-2.5697e-06,1.0
36.6,-2.5833e-06,1.0
36.7,-2.5833e-06,1.0
36.8,-2.5914e-06,1.0
36.9,-2.5833e-06,1.0
37.0,-2.5162e-06,1.0
37.1,-2.268e-06,1.0
37.2,-2.4696e-06,1.0
37.3,-2.4696e-06,1.0
37.4,-2.5162e-06,1.0
37.5,-2.4696e-06,1.0
37.6,-2.5665e-06,1.0
37.7,-2.5665e-06,1.0
37.8,-2.5665e-06,1.0
37.9,-2.3497e-06,1.0
38.0,-2.5665e-06,1.0
38.1,-2.4341e-06,1.0
38.2,-2.4411e-06,1.0
38.3,-2.4411e-06,1.0
38.4,-2.4871e-06,1.0
38.5,-2.4411e-06,1.0
38.6,-2.4871e-06,1.0
38.7,-2.528e-06,1.0
38.8,-2.5536e-06,1.0
38.9,-2.6572e-06,1.0
39.0,-2.6572e-06,1.0
39.1,-2.7012e-06,1.0
39.2,-2.6572e-06,1.0
39.3,-2.6572e-06,1.0
39.4,-2.697e-06,1.0
39.5,-2.697e-06,1.0
39.6,-2.697e-06,1.0
39.7,-2.7064e-06,1.0
39.8,-2.7064e-06,1.0
39.9,-2.3831e-06,1.0
40.0,-2.1929e-06,1.0
40.1,-2.1929e-06,1.0
40.2,-2.0404e-06,1.0
40.3,-2.1929e-06,1.0
40.4,-2.2619e-06,1.0
40.5,-2.2817e-06,1.0
40.6,-2.2817e-06,1.0
40.7,-2.2817e-06,1.0
40.8,-2.4994e-06,1.0
40.9,-2.6473e-06,1.0
41.0,-2.6473e-06,1.0
41.1,-2.6224e-06,1.0
41.2,-2.6224e-06,1.0
41.3,-2.2477e-06,1.0
41.4,-2.2477e-06,1.0
41.5,-2.2477e-06,1.0
41.6,-2.2477e-06,1.0
41.7,-2.3525e-06,1.0
41.8,-2.3585e-06,1.0
41.9,-2.3672e-06,1.0
42.0,-2.3672e-06,1.0
42.1,-2.3672e-06,1.0
42.2,-2.3585e-06,0.0
42.3,-2.3672e-06,0.0
42.4,-2.2117e-06,1.0
42.5,-2.2537e-06,1.0
42.6,-2.2537e-06,1.0
42.7,-2.2888e-06,1.0
42.8,-2.2888e-06,1.0
42.9,-2.5603e-06,1.0
43.0,-2.5603e-06,1.0
43.1,-2.5603e-06,1.0
43.2,-2.6688e-06,1.0
43.3,-2.5603e-06,1.0
43.4,-2.7575e-06,1.0
43.5,-2.7575e-06,1.0
43.6,-2.4567e-06,1.0
43.7,-2.4567e-06,1.0
43.8,-2.4567e-06,1.0
43.9,-2.4567e-06,1.0
44.0,-2.3951e-06,1.0
44.1,-2.4607e-06,1.0
44.2,-2.5202e-06,1.0
44.3,-2.5784e-06,1.0
44.4,-2.5784e-06,1.0
44.5,-2.5784e-06,1.0
44.6,-2.5202e-06,1.0
44.7,-2.512e-06,1.0
44.8,-2.512e-06,1.0
44.9,-2.512e-06,1.0
45.0,-2.8017e-06,1.0
45.1,-2.8017e-06,1.0
45.2,-2.8017e-06,1.0
45.3,-2.4879e-06,1.0
45.4,-2.4879e-06,1.0
45.5,-2.4879e-06,1.0
45.6,-2.7213e-06,1.0
45.7,-2.9387e-06,1.0
45.8,-2.9387e-06,1.0
45.9,-2.7213e-06,1.0
46.0,-2.707e-06,1.0
46.1,-2.5675e-06,1.0
46.2,-2.4544e-06,1.0
46.3,-2.2772e-06,1.0
46.4,-2.2394e-06,1.0
46.5,-2.2394e-06,1.0
46.6,-2.2772e-06,1.0
46.7,-2.4411e-06,1.0
46.8,-2.6232e-06,1.0
46.9,-2.6656e-06,1.0
47.0,-2.7008e-06,1.0
47.1,-2.7008e-06,1.0
47.2,-2.7008e-06,1.0
47.3,-2.7008e-06,1.0
47.4,-2.5776e-06,1.0
47.5,-2.5277e-06,1.0
47.6,-2.4146e-06,0.0
47.7,-2.5277e-06,0.0
47.8,-2.5277e-06,0.0
47.9,-2.4146e-06,1.0
48.0,-2.6859e-06,1.0
48.1,-2.6859e-06,1.0
48.2,-2.6087e-06,1.0
48.3,-2.5921e-06,1.0
48.4,-2.5921e-06,1.0
48.5,-2.385e-06,1.0
48.6,-2.385e-06,1.0
48.7,-2.3206e-06,0.0
48.8,-2.3206e-06,0.0
48.9,-2.3514e-06,0.0
49.0,-2.5428e-06,0.0
49.1,-2.3514e-06,1.0
49.2,-2.5354e-06,1.0
49.3,-2.5428e-06,1.0
49.4,-2.5887e-06,1.0
49.5,-2.5354e-06,1.0
49.6,-2.5354e-06,1.0
49.7,-2.4657e-06,1.0
49.8,-2.4657e-06,1.0
49.9,-2.3095e-06,1.0
50.0,-2.3095e-06,1.0
50.1,-2.3095e-06,1.0
50.2,-2.3091e-06,1.0
50.3,-2.3091e-06,1.0
50.4,-2.285e-06,1.0
50.5,-2.2652e-06,0.0
50.6,-2.285e-06,0.0
50.7,-2.2652e-06,1.0
50.8,-2.2652e-06,1.0
50.9,-2.2951e-06,1.0
51.0,-2.2996e-06,1.0
51.1,-2.2996e-06,1.0
51.2,-2.4169e-06,1.0
51.3,-2.4169e-06,1.0
51.4,-2.2996e-06,1.0
51.5,-2.2536e-06,1.0
51.6,-2.2536e-06,1.0
51.7,-2.2536e-06,1.0
51.8,-2.1223e-06,1.0
51.9,-2.2536e-06,1.0
52.0,-2.2627e-06,1.0
52.1,-2.3058e-06,1.0
52.2,-2.3058e-06,1.0
52.3,-2.5683e-06,1.0
52.4,-2.5683e-06,1.0
52.5,-2.3832e-06,1.0
52.6,-2.4331e-06,1.0
52.7,-2.4331e-06,1.0
52.8,-2.4331e-06,1.0
52.9,-2.61e-06,1.0
53.0,-2.61e-06,1.0
53.1,-2.7067e-06,1.0
