序号,相对时间(s),R（Ω）,X（Ω）,时间
213,23.06,16759.1,-2102.82,2026/01/29 20:53:42
214,23.17,16706.8,-2103.28,2026/01/29 20:53:42
215,23.28,16614.8,-2109.16,2026/01/29 20:53:42
216,23.39,16472.3,-2111.66,2026/01/29 20:53:42
217,23.5,16477.8,-2115.95,2026/01/29 20:53:42
218,23.61,16656.2,-2107.98,2026/01/29 20:53:43
219,23.72,16812,-2096.18,2026/01/29 20:53:43
220,23.82,16835.5,-2094.44,2026/01/29 20:53:43
221,23.93,16816.6,-2092.8,2026/01/29 20:53:43
222,24.04,16726,-2093.73,2026/01/29 20:53:43
223,24.15,16560.5,-2090.53,2026/01/29 20:53:43
224,24.26,16509.2,-2106.89,2026/01/29 20:53:43
225,24.37,16670.8,-2107.41,2026/01/29 20:53:43
226,24.48,16823.8,-2095.34,2026/01/29 20:53:43
227,24.59,16843.2,-2092.01,2026/01/29 20:53:43
228,24.7,16792.9,-2093.17,2026/01/29 20:53:44
229,24.81,16690.7,-2086.75,2026/01/29 20:53:44
230,24.91,16510.7,-2098.15,2026/01/29 20:53:44
231,25.02,16529.1,-2105.48,2026/01/29 20:53:44
232,25.13,16639,-2104.99,2026/01/29 20:53:44
233,25.24,16781.1,-2099.76,2026/01/29 20:53:44
234,25.35,16825.5,-2094.01,2026/01/29 20:53:44
235,25.46,16832.8,-2093.87,2026/01/29 20:53:44
236,25.57,16763.5,-2091.94,2026/01/29 20:53:44
237,25.68,16625.2,-2087.08,2026/01/29 20:53:45
238,25.79,16517.5,-2100.2,2026/01/29 20:53:45
239,25.9,16603.5,-2103.02,2026/01/29 20:53:45
240,26,16724.3,-2100.51,2026/01/29 20:53:45
241,26.11,16801.4,-2097.11,2026/01/29 20:53:45
242,26.22,16819.1,-2091.84,2026/01/29 20:53:45
243,26.33,16768,-2093.49,2026/01/29 20:53:45
244,26.44,16637.2,-2088.17,2026/01/29 20:53:45
245,26.55,16562.3,-2100.17,2026/01/29 20:53:45
