feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63
0.00964342,0.014226364,0.067090265,0.01694095,0.12104988,0.0092159035,0.07103945,0.004172447,0.016896613,0.035843246,0.012432247,0.02849441,0.028262734,0.0062154816,0.026544794,0.15162896,0.006334471,0.20946305,0.10858889,0.088823795,0.073065795,0.0026219664,0.119449064,0.107400745,0.09426332,0.008989457,0.06570306,0.0078050448,0.109999545,0.00052412227,0.14382692,0.12931569,0.07070949,0.0,0.005350833,0.012774728,0.14754179,0.11776893,0.019954272,0.023745261,0.015824102,0.04759202,0.20021491,0.060702525,0.108353555,0.17086083,0.001926834,0.0065907217,0.21630219,0.001899178,0.004447533,0.2128636,0.0013898658,0.0,0.0,0.017137218,0.043656513,0.030930316,0.2094469,0.03945799,0.08017522,0.07602929,0.01472339,0.0
0.0065866695,0.025388159,0.066693366,0.014418849,0.1468086,0.0030232957,0.073315956,0.009541283,0.026046123,0.042334434,0.01335979,0.03464954,0.03314054,0.0060597397,0.026318507,0.15163164,0.001911138,0.22070523,0.107680224,0.07884161,0.07837722,0.009224286,0.14096786,0.09351328,0.113731235,0.008050698,0.073828004,0.014027126,0.089633666,0.0013655276,0.17149106,0.14534031,0.074121825,0.0,0.006441259,0.020575648,0.1556253,0.11415237,0.026428115,0.040647864,0.021938425,0.041296773,0.20297915,0.078505084,0.12358342,0.17376591,0.0,0.014854993,0.22837439,0.0024621258,0.0037213014,0.21746449,0.0020186186,0.0,0.0044484716,0.02055406,0.042443972,0.025292933,0.18122694,0.054068476,0.094973736,0.070958756,0.034969606,0.0
0.009249349,0.023122067,0.076262444,0.022177853,0.14428174,0.007184569,0.06309511,0.006640786,0.022907138,0.051150814,0.015362718,0.03820858,0.030948466,0.0058171577,0.027247319,0.15856843,0.016203217,0.21904698,0.1133848,0.08487371,0.076648325,0.0042458293,0.14021291,0.092027254,0.11883493,0.007595038,0.075375535,0.009258374,0.09761811,0.00066914334,0.16651297,0.13817759,0.07244814,0.0,0.011504078,0.022158869,0.1519784,0.11561472,0.025114236,0.03201109,0.017097678,0.034847666,0.20089726,0.07308609,0.1221573,0.17226896,0.0,0.013879416,0.2210231,0.0022369153,0.008322684,0.22247015,0.0005851958,0.0,0.0005587807,0.0197356,0.052054357,0.026923344,0.18252727,0.047026753,0.08818234,0.06706979,0.029124385,0.0
0.012496152,0.01606568,0.06342901,0.017586254,0.12598701,0.003411398,0.061143164,0.011145306,0.024695773,0.044175748,0.016513048,0.029052915,0.027171347,0.0048880433,0.028681012,0.16176146,0.011418865,0.22767538,0.11848486,0.09738915,0.08337301,0.005402099,0.12222043,0.10696204,0.09989152,0.011581413,0.07639679,0.0031594303,0.10572106,0.0026522055,0.16483934,0.13976385,0.07074209,0.0,0.0,0.014853198,0.15436912,0.13313605,0.02469163,0.024567632,0.016477186,0.038219217,0.20484978,0.0651196,0.113324374,0.16175564,2.6777385e-05,0.008213657,0.2282498,0.00047475589,0.0016322519,0.22099379,0.0029526893,0.0,0.0,0.018325124,0.055536766,0.03422958,0.20856394,0.03884043,0.08589258,0.07721185,0.02133552,0.0
0.0069616013,0.028694076,0.06478861,0.016443007,0.15792125,0.00018067917,0.07001341,0.007039242,0.026708787,0.050449453,0.016033856,0.03515569,0.033269312,0.006554548,0.024309598,0.16263807,0.006276487,0.2291997,0.11065862,0.0783387,0.080819406,0.009908318,0.14877684,0.089720055,0.118671656,0.005597675,0.078065544,0.016498704,0.08149031,0.0013193557,0.17770031,0.14885372,0.067240864,0.0,0.007491373,0.023847766,0.16264601,0.11903573,0.025383819,0.047198385,0.023395292,0.032584455,0.20730087,0.08743895,0.13144256,0.17701803,0.0,0.014958595,0.23205787,0.0023981563,0.0031144964,0.21868315,0.00092848256,0.0,0.0039429073,0.023038082,0.044527963,0.026382573,0.17829032,0.05542026,0.101875976,0.07155268,0.040414277,0.0
0.010837249,0.0268571,0.060102787,0.020647006,0.15616469,0.0033861422,0.065175675,0.009467491,0.02228833,0.063311204,0.021120623,0.039559927,0.03256886,0.003352511,0.020116985,0.18686277,0.012282337,0.24314256,0.11992605,0.08977877,0.09068679,0.0041284477,0.15213825,0.09815699,0.11005928,0.0059651374,0.077188455,0.009002486,0.08268079,0.0,0.1774277,0.15493685,0.04779329,0.0,0.0015044351,0.017385084,0.17349748,0.14034274,0.015074686,0.046995234,0.020101529,0.019792609,0.22307436,0.089929916,0.12905023,0.17378822,0.0,0.0076324465,0.23768432,0.0004551202,0.0011481886,0.22753495,0.000204168,0.0,0.0025633352,0.024480268,0.04816477,0.035117883,0.19803424,0.04897392,0.10756053,0.07225348,0.03389174,0.0
0.006257958,0.033171613,0.0669898,0.011968541,0.18214232,0.0030748674,0.07481678,0.0050495337,0.025612118,0.07204318,0.020113979,0.048076835,0.03796023,0.004659399,0.015540505,0.17743391,0.009309527,0.24188085,0.11651018,0.07708847,0.08126082,0.004019182,0.16570663,0.08406783,0.12392549,0.007356025,0.08103953,0.016172562,0.06784106,0.00094983133,0.1837303,0.165625,0.046382107,0.0,0.0037228765,0.027624035,0.17417188,0.12122964,0.016428975,0.059142288,0.022450946,0.012895724,0.22424564,0.10111505,0.13928074,0.18672904,0.0,0.010905816,0.24319682,0.00014173106,0.0036690575,0.23155308,0.0011429049,0.0,0.0021933867,0.027375111,0.036990315,0.028141493,0.1736707,0.062293224,0.111296795,0.06966492,0.046861254,0.0
0.0040006996,0.02975408,0.0706236,0.02409061,0.14712863,0.0050247647,0.07152493,0.010914134,0.02633718,0.04662563,0.012038626,0.051164478,0.036469016,0.010169349,0.021570913,0.17118946,0.010574075,0.2310638,0.11406884,0.0834726,0.079697944,0.005471715,0.1486234,0.09975267,0.1070851,0.0055192388,0.07701365,0.017719757,0.08860672,0.00010681042,0.16976742,0.14894626,0.067563124,0.0,0.007376002,0.01837929,0.16525295,0.122398704,0.028626371,0.04275897,0.019987538,0.028446266,0.21814771,0.08190905,0.122645095,0.17908554,0.0,0.013017296,0.22918488,0.002876865,0.005023965,0.22775969,0.0,0.0,0.00014096138,0.014016593,0.038778715,0.026101692,0.18338898,0.046777915,0.10034722,0.0741617,0.03315071,0.0
0.0074958843,0.036204938,0.07088575,0.021502513,0.18343946,0.0037839112,0.06666167,0.004623967,0.022509167,0.07783184,0.02488613,0.049933538,0.037379917,0.0028540825,0.01577196,0.18742904,0.011835594,0.24283239,0.118236944,0.07782762,0.08199886,0.0024021622,0.17420024,0.07616169,0.13133699,0.0068749846,0.083141714,0.010438769,0.061330594,0.001988686,0.18388195,0.16057403,0.038811196,0.0,0.0034861227,0.030202178,0.17622466,0.120742775,0.011333071,0.060062133,0.026687358,0.012120531,0.22214194,0.103114136,0.14155672,0.18521625,2.7659149e-05,0.011546735,0.2401527,0.0009974876,0.0051021664,0.23141031,0.0018655438,0.0,0.0,0.028810969,0.046589404,0.028398175,0.16987365,0.060147926,0.109377004,0.07049429,0.047451716,0.0
0.013543973,0.020048283,0.057878286,0.02298827,0.13485478,0.0019531497,0.061879538,0.005174575,0.017680233,0.05254004,0.01793083,0.0269463,0.02691334,0.0036808536,0.028469319,0.17073093,0.014624207,0.23143958,0.11749526,0.09721174,0.084258996,0.0043608285,0.12606555,0.10673948,0.09972096,0.0083352085,0.077460624,0.0072477744,0.10107653,0.0,0.16776727,0.14176357,0.066418864,0.0,0.00188097,0.014812009,0.1605904,0.14378983,0.016361708,0.030669846,0.017356636,0.03487894,0.21424872,0.074297816,0.1201149,0.16466787,0.0,0.0052972655,0.22942722,0.0,0.0,0.22164136,0.00016941442,0.0,0.0029185119,0.01992908,0.057338048,0.03564611,0.21190716,0.041464616,0.09280556,0.07407949,0.028043993,0.0
