序号,相对时间(s),R（Ω）,X（Ω）,时间
212,22.99,17816.8,-2498.31,2026/01/29 23:28:12
213,23.1,17774.2,-2510.41,2026/01/29 23:28:12
214,23.2,17785.9,-2506.26,2026/01/29 23:28:12
215,23.31,17884.2,-2485.92,2026/01/29 23:28:12
216,23.42,17910.4,-2483.07,2026/01/29 23:28:12
217,23.53,17913.8,-2479,2026/01/29 23:28:12
218,23.64,17905.2,-2483.38,2026/01/29 23:28:13
219,23.75,17846.3,-2493.56,2026/01/29 23:28:13
220,23.86,17776.1,-2508.34,2026/01/29 23:28:13
221,23.96,17755.5,-2512.92,2026/01/29 23:28:13
222,24.07,17802.7,-2504.6,2026/01/29 23:28:13
223,24.18,17893.9,-2485.51,2026/01/29 23:28:13
224,24.29,17913.1,-2480.5,2026/01/29 23:28:13
225,24.4,17908.7,-2481.47,2026/01/29 23:28:13
226,24.51,17913.2,-2480.75,2026/01/29 23:28:13
227,24.62,17912.2,-2480.76,2026/01/29 23:28:14
228,24.73,17849.5,-2493.89,2026/01/29 23:28:14
229,24.84,17782.3,-2506.28,2026/01/29 23:28:14
230,24.95,17792.4,-2507.16,2026/01/29 23:28:14
231,25.05,17859.9,-2491.38,2026/01/29 23:28:14
232,25.16,17927.7,-2478.97,2026/01/29 23:28:14
233,25.27,17936.9,-2476.74,2026/01/29 23:28:14
234,25.38,17929.4,-2478.81,2026/01/29 23:28:14
235,25.49,17936,-2477.35,2026/01/29 23:28:14
236,25.6,17935.6,-2478.38,2026/01/29 23:28:15
237,25.71,17935.6,-2477.35,2026/01/29 23:28:15
238,25.82,17884.3,-2489.77,2026/01/29 23:28:15
239,25.93,17866.1,-2489.62,2026/01/29 23:28:15
240,26.03,17939.1,-2477.73,2026/01/29 23:28:15
241,26.14,17932.8,-2479.24,2026/01/29 23:28:15
242,26.25,17937.4,-2476.86,2026/01/29 23:28:15
243,26.36,17936.7,-2478.84,2026/01/29 23:28:15
244,26.47,17940.4,-2476.77,2026/01/29 23:28:15
245,26.58,17887.2,-2488.16,2026/01/29 23:28:16
246,26.69,17842.5,-2497.3,2026/01/29 23:28:16
