数据名单电势阶跃记时电流CASE2024年4月1日  14:42:40
时间: 2024/4/1 14:43:58
线数1	点数12306
2.269685039	0.199
2.271653543	0.236
2.273622047	0.319
2.275590551	0.381
2.277559055	0.341
2.279527559	0.2
2.281496063	0.079
2.283464567	0.107
2.285433071	0.235
2.287401575	0.298
2.289370079	0.212
2.291338583	0.067
2.293307087	0.033
2.295275591	0.161
2.297244094	0.341
2.299212598	0.435
2.301181102	0.406
2.303149606	0.322
2.30511811	0.273
2.307086614	0.289
2.309055118	0.339
2.311023622	0.341
2.312992126	0.241
2.31496063	0.089
2.316929134	0.02
2.318897638	0.097
2.320866142	0.241
2.322834646	0.311
2.32480315	0.296
2.326771654	0.311
2.328740157	0.41
2.330708661	0.502
2.332677165	0.453
2.334645669	0.302
2.336614173	0.24
2.338582677	0.365
2.340551181	0.516
2.342519685	0.464
2.344488189	0.224
2.346456693	0.078
2.348425197	0.232
2.350393701	0.552
2.352362205	0.701
2.354330709	0.533
2.356299213	0.271
2.358267717	0.241
2.36023622	0.48
2.362204724	0.728
2.364173228	0.736
2.366141732	0.547
2.368110236	0.402
2.37007874	0.438
2.372047244	0.576
2.374015748	0.677
2.375984252	0.717
2.377952756	0.748
2.37992126	0.761
2.381889764	0.701
2.383858268	0.573
2.385826772	0.487
2.387795276	0.533
2.38976378	0.639
2.391732283	0.672
2.393700787	0.591
2.395669291	0.51
2.397637795	0.519
2.399606299	0.569
2.401574803	0.546
2.403543307	0.414
2.405511811	0.278
2.407480315	0.233
2.409448819	0.256
2.411417323	0.248
2.413385827	0.156
2.415354331	0.015
2.417322835	-0.067
2.419291339	-0.009
2.421259843	0.175
2.423228346	0.344
2.42519685	0.328
2.427165354	0.106
2.429133858	-0.135
2.431102362	-0.16
2.433070866	0.043
2.43503937	0.226
2.437007874	0.165
2.438976378	-0.074
2.440944882	-0.205
2.442913386	-0.051
2.44488189	0.263
2.446850394	0.471
2.448818898	0.442
2.450787402	0.274
2.452755906	0.157
2.454724409	0.163
2.456692913	0.235
2.458661417	0.268
2.460629921	0.199
2.462598425	0.072
2.464566929	0.015
2.466535433	0.125
2.468503937	0.365
2.470472441	0.593
2.472440945	0.751
2.474409449	0.959
2.476377953	1.374
2.478346457	1.95
2.480314961	2.452
2.482283465	2.716
2.484251969	2.841
2.486220472	3.062
2.488188976	3.421
2.49015748	3.681
2.492125984	3.608
2.494094488	3.248
2.496062992	2.863
2.498031496	2.608
2.5	2.365
2.501968504	1.935
2.503937008	1.308
2.505905512	0.661
2.507874016	0.169
2.50984252	-0.14
2.511811024	-0.337
2.513779528	-0.479
2.515748031	-0.562
2.517716535	-0.567
2.519685039	-0.503
2.521653543	-0.388
2.523622047	-0.252
2.525590551	-0.158
2.527559055	-0.158
2.529527559	-0.225
2.531496063	-0.265
2.533464567	-0.228
2.535433071	-0.185
2.537401575	-0.246
2.539370079	-0.401
2.541338583	-0.505
2.543307087	-0.434
2.545275591	-0.269
2.547244094	-0.206
2.549212598	-0.331
2.551181102	-0.509
2.553149606	-0.539
2.55511811	-0.395
2.557086614	-0.253
2.559055118	-0.286
2.561023622	-0.464
2.562992126	-0.583
2.56496063	-0.502
2.566929134	-0.292
2.568897638	-0.148
2.570866142	-0.17
2.572834646	-0.262
2.57480315	-0.268
2.576771654	-0.173
2.578740157	-0.101
2.580708661	-0.17
2.582677165	-0.337
2.584645669	-0.443
2.586614173	-0.397
2.588582677	-0.276
2.590551181	-0.215
2.592519685	-0.241
2.594488189	-0.282
2.596456693	-0.269
2.598425197	-0.205
2.600393701	-0.12
2.602362205	-0.044
2.604330709	0.01
2.606299213	0.027
2.608267717	0.004
2.61023622	-0.011
2.612204724	0.023
2.614173228	0.059
2.616141732	0.001
2.618110236	-0.133
2.62007874	-0.192
2.622047244	-0.057
2.624015748	0.179
2.625984252	0.277
2.627952756	0.118
2.62992126	-0.127
2.631889764	-0.177
