序号,相对时间(s),R（Ω）,X（Ω）,时间
267,28.96,21653.3,-1723.16,2026/01/23 17:15:27
268,29.07,21652.4,-1725.95,2026/01/23 17:15:27
269,29.18,21654.2,-1719.43,2026/01/23 17:15:27
270,29.29,21650.7,-1725.97,2026/01/23 17:15:27
271,29.4,21654.2,-1721.55,2026/01/23 17:15:27
272,29.51,21653.9,-1723.02,2026/01/23 17:15:27
273,29.61,21652.8,-1721.51,2026/01/23 17:15:27
274,29.72,21655.8,-1722.09,2026/01/23 17:15:27
275,29.83,21651.6,-1724.16,2026/01/23 17:15:27
276,29.94,21659.9,-1721.01,2026/01/23 17:15:28
277,30.05,21651.4,-1723.1,2026/01/23 17:15:28
278,30.16,21659.3,-1723.93,2026/01/23 17:15:28
279,30.27,21655.8,-1723.33,2026/01/23 17:15:28
280,30.38,21658.6,-1724.26,2026/01/23 17:15:28
281,30.48,21658,-1722.11,2026/01/23 17:15:28
282,30.59,21657,-1725.44,2026/01/23 17:15:28
283,30.7,21660.6,-1722.75,2026/01/23 17:15:28
284,30.81,21658.2,-1723.91,2026/01/23 17:15:28
285,30.92,21660.3,-1722.78,2026/01/23 17:15:29
286,31.03,21660.6,-1724.82,2026/01/23 17:15:29
287,31.14,21662.3,-1721.87,2026/01/23 17:15:29
288,31.25,21664.2,-1725.41,2026/01/23 17:15:29
289,31.36,21669.8,-1723.38,2026/01/23 17:15:29
290,31.46,21677.8,-1724.04,2026/01/23 17:15:29
291,31.57,21678.6,-1723.73,2026/01/23 17:15:29
292,31.68,21692.8,-1725.56,2026/01/23 17:15:29
293,31.79,21697.3,-1726.39,2026/01/23 17:15:29
294,31.9,21705.4,-1723.03,2026/01/23 17:15:29
295,32.01,21681.8,-1726.82,2026/01/23 17:15:30
296,32.12,21675.7,-1722.1,2026/01/23 17:15:30
297,32.23,21666.7,-1725.93,2026/01/23 17:15:30
298,32.34,21684.3,-1724.85,2026/01/23 17:15:30
299,32.45,21686.2,-1724.69,2026/01/23 17:15:30
