Time:,2024/12/13 0:05:27
Mode:,I-t - Amperometric i-t Curve
Range,5.0E-2A
Init E (mV),2000
Run Time (mS),180000
Quiet Time (mS),2000
Sample Int (mS),100
Filter (1-9999),9950

Time(S),Current(A)
4.0900e+001,7.2016e-004
4.1000e+001,7.9919e-004
4.1100e+001,2.7699e-003
4.1200e+001,2.8125e-003
4.1300e+001,2.8633e-003
4.1400e+001,2.9246e-003
4.1500e+001,2.9824e-003
4.1600e+001,3.0285e-003
4.1700e+001,3.0630e-003
4.1800e+001,3.0912e-003
4.1900e+001,3.1139e-003
4.2000e+001,3.1292e-003
4.2100e+001,3.1394e-003
4.2200e+001,3.1437e-003
4.2300e+001,3.1427e-003
4.2400e+001,3.1342e-003
4.2500e+001,3.1066e-003
4.2600e+001,3.0485e-003
4.2700e+001,1.7229e-003
4.2800e+001,2.1613e-003
4.2900e+001,2.1133e-003
4.3000e+001,6.7159e-004
4.3100e+001,2.3944e-003
4.3200e+001,9.1345e-004
4.3300e+001,2.9273e-003
4.3400e+001,2.9751e-003
4.3500e+001,3.0209e-003
4.3600e+001,3.0570e-003
4.3700e+001,3.0840e-003
4.3800e+001,3.1036e-003
4.3900e+001,3.1168e-003
4.4000e+001,3.1262e-003
4.4100e+001,3.1323e-003
4.4200e+001,3.1355e-003
4.4300e+001,3.1348e-003
4.4400e+001,3.1266e-003
4.4500e+001,3.1078e-003
4.4600e+001,3.0659e-003
4.4700e+001,2.2920e-003
4.4800e+001,8.0306e-004
4.4900e+001,5.6084e-004
4.5000e+001,1.6290e-003
4.5100e+001,5.0947e-004
4.5200e+001,5.0606e-004
4.5300e+001,4.9920e-004
4.5400e+001,1.6054e-003
4.5500e+001,1.5499e-003
4.5600e+001,1.4252e-003
4.5700e+001,2.1701e-003
4.5800e+001,2.2104e-003
4.5900e+001,2.1845e-003
4.6000e+001,2.2193e-003
4.6100e+001,1.8161e-003
4.6200e+001,2.0358e-003
4.6300e+001,2.3125e-003
4.6400e+001,1.9187e-003
4.6500e+001,2.1348e-003
4.6600e+001,2.1550e-003
4.6700e+001,2.1378e-003
4.6800e+001,2.1275e-003
4.6900e+001,2.4735e-003
