Time:,2024/12/13 0:21:24
Mode:,I-t - Amperometric i-t Curve
Range,5.0E-2A
Init E (mV),2000
Run Time (mS),180000
Quiet Time (mS),2000
Sample Int (mS),100
Filter (1-9999),9950

Time(S),Current(A)
3.3500e+001,-2.7055e-006
3.3600e+001,-2.2478e-006
3.3700e+001,-2.7071e-006
3.3800e+001,-2.4577e-006
3.3900e+001,-2.6647e-006
3.4000e+001,-2.5743e-006
3.4100e+001,-2.6099e-006
3.4200e+001,-2.2557e-006
3.4300e+001,-2.5655e-006
3.4400e+001,-1.9382e-006
3.4500e+001,-2.3604e-006
3.4600e+001,-2.4939e-006
3.4700e+001,-2.7368e-006
3.4800e+001,-1.7866e-006
3.4900e+001,-2.6564e-006
3.5000e+001,-2.6828e-006
3.5100e+001,-2.1195e-006
3.5200e+001,-2.4401e-006
3.5300e+001,-2.3842e-006
3.5400e+001,-2.3063e-006
3.5500e+001,-2.1904e-006
3.5600e+001,-2.5198e-006
3.5700e+001,-2.3029e-006
3.5800e+001,-3.0802e-006
3.5900e+001,-2.2562e-006
3.6000e+001,-2.7269e-006
3.6100e+001,-2.8124e-006
3.6200e+001,-2.5708e-006
3.6300e+001,-2.1705e-006
3.6400e+001,-2.4342e-006
3.6500e+001,-2.5697e-006
3.6600e+001,-3.1921e-006
3.6700e+001,-2.5833e-006
3.6800e+001,-2.5914e-006
3.6900e+001,-2.0034e-006
3.7000e+001,-3.0304e-006
3.7100e+001,-2.0521e-006
3.7200e+001,-2.5162e-006
3.7300e+001,-2.2680e-006
3.7400e+001,-2.4696e-006
3.7500e+001,-2.5761e-006
3.7600e+001,-2.6824e-006
3.7700e+001,-2.1811e-006
3.7800e+001,-2.5665e-006
3.7900e+001,-2.3497e-006
3.8000e+001,-2.9773e-006
3.8100e+001,-2.1916e-006
3.8200e+001,-2.7907e-006
3.8300e+001,-2.4341e-006
3.8400e+001,-2.4411e-006
3.8500e+001,-2.4871e-006
3.8600e+001,-2.5280e-006
3.8700e+001,-2.1128e-006
3.8800e+001,-2.5536e-006
3.8900e+001,-2.8304e-006
3.9000e+001,-2.7012e-006
3.9100e+001,-2.6572e-006
3.9200e+001,-2.5749e-006
3.9300e+001,-2.7655e-006
3.9400e+001,-2.3968e-006
3.9500e+001,-2.6970e-006
3.9600e+001,-2.7064e-006
3.9700e+001,-2.3831e-006
3.9800e+001,-3.0456e-006
3.9900e+001,-2.8330e-006
4.0000e+001,-2.0223e-006
4.0100e+001,-2.1929e-006
4.0200e+001,-2.0197e-006
4.0300e+001,-3.0820e-006
4.0400e+001,-2.0404e-006
4.0500e+001,-2.2619e-006
4.0600e+001,-2.4994e-006
4.0700e+001,-2.2817e-006
4.0800e+001,-2.7174e-006
4.0900e+001,-2.1337e-006
4.1000e+001,-2.6610e-006
4.1100e+001,-2.6473e-006
4.1200e+001,-2.0866e-006
4.1300e+001,-2.6224e-006
4.1400e+001,-2.2477e-006
4.1500e+001,-1.9443e-006
4.1600e+001,-2.3525e-006
4.1700e+001,-1.8109e-006
4.1800e+001,-2.9248e-006
4.1900e+001,-2.5538e-006
4.2000e+001,-2.3585e-006
4.2100e+001,-2.3672e-006
4.2200e+001,-2.1491e-006
4.2300e+001,-2.5266e-006
4.2400e+001,-2.1341e-006
4.2500e+001,-2.6535e-006
4.2600e+001,-2.2117e-006
4.2700e+001,-2.2537e-006
4.2800e+001,-2.9399e-006
4.2900e+001,-2.2888e-006
4.3000e+001,-2.6688e-006
4.3100e+001,-2.5603e-006
4.3200e+001,-2.1628e-006
4.3300e+001,-3.0639e-006
4.3400e+001,-3.1373e-006
4.3500e+001,-2.2327e-006
4.3600e+001,-2.7575e-006
4.3700e+001,-2.4567e-006
4.3800e+001,-2.2909e-006
4.3900e+001,-2.4607e-006
4.4000e+001,-1.6599e-006
4.4100e+001,-2.6858e-006
4.4200e+001,-2.3951e-006
4.4300e+001,-2.5812e-006
4.4400e+001,-2.5202e-006
4.4500e+001,-2.5784e-006
4.4600e+001,-2.6017e-006
4.4700e+001,-2.3124e-006
4.4800e+001,-2.5120e-006
4.4900e+001,-2.2475e-006
4.5000e+001,-2.8466e-006
4.5100e+001,-2.8017e-006
4.5200e+001,-2.8369e-006
4.5300e+001,-2.4879e-006
4.5400e+001,-2.1156e-006
4.5500e+001,-1.8291e-006
4.5600e+001,-3.1658e-006
4.5700e+001,-2.9751e-006
