数据名单电势阶跃记时电流CASE2024年4月1日  14:33:00
时间: 2024/4/1 14:33:27
线数1	点数8153
2.81	0.257881405072176	
2.82	0.258491775261696	
2.83	0.258491775261696	
2.84	0.258491775261696	
2.85	0.258796960356456	
2.86	0.258796960356456	
2.87	0.258796960356456	
2.88	0.258796960356456	
2.89	0.258796960356456	
2.9	0.258796960356456	
2.91	0.258796960356456	
2.92	0.258796960356456	
2.93	0.258796960356456	
2.94	0.258796960356456	
2.95	0.258491775261696	
2.96	0.258796960356456	
2.97	0.258796960356456	
2.98	0.258491775261696	
2.99	0.258491775261696	
3	0.258491775261696	
3.01	0.258491775261696	
3.02	0.258186590166936	
3.03	0.257576219977416	
3.04	0.257271034882656	
3.05	0.257271034882656	
3.06	0.257271034882656	
3.07	0.256660664693136	
3.08	0.256660664693136	
3.09	0.256660664693136	
3.1	0.256050294503616	
3.11	0.256050294503616	
3.12	0.256050294503616	
3.13	0.255439924314097	
3.14	0.254829554124577	
3.15	0.254829554124577	
3.16	0.254829554124577	
3.17	0.254829554124577	
3.18	0.254829554124577	
3.19	0.253913998840297	
3.2	0.253913998840297	
3.21	0.253608813745537	
3.22	0.253608813745537	
3.23	0.253608813745537	
3.24	0.253608813745537	
3.25	0.253608813745537	
3.26	0.253608813745537	
3.27	0.253608813745537	
3.28	0.252998443556017	
3.29	0.252998443556017	
3.3	0.252998443556017	
3.31	0.252998443556017	
3.32	0.252998443556017	
3.33	0.252693258461257	
3.34	0.252693258461257	
3.35	0.252388073366497	
3.36	0.252998443556017	
3.37	0.252998443556017	
3.38	0.252388073366497	
3.39	0.252388073366497	
3.4	0.252388073366497	
3.41	0.252388073366497	
3.42	0.252388073366497	
3.43	0.252388073366497	
3.44	0.252388073366497	
3.45	0.252082888271737	
3.46	0.251777703176977	
3.47	0.252388073366497	
3.48	0.251777703176977	
3.49	0.252388073366497	
3.5	0.252388073366497	
3.51	0.251777703176977	
3.52	0.251472518082217	
3.53	0.251777703176977	
3.54	0.251777703176977	
3.55	0.251777703176977	
3.56	0.251472518082217	
3.57	0.251167332987457	
3.58	0.251777703176977	
3.59	0.251777703176977	
3.6	0.251167332987457	
3.61	0.251167332987457	
3.62	0.251167332987457	
3.63	0.250556962797937	
3.64	0.251167332987457	
3.65	0.250556962797937	
3.66	0.250556962797937	
3.67	0.250556962797937	
3.68	0.250556962797937	
3.69	0.249946592608417	
3.7	0.250556962797937	
3.71	0.249946592608417	
3.72	0.249946592608417	
3.73	0.249031037324137	
3.74	0.249336222418897	
3.75	0.249031037324137	
3.76	0.249031037324137	
3.77	0.248725852229377	
3.78	0.248725852229377	
3.79	0.248725852229377	
3.8	0.248115482039857	
3.81	0.248420667134617	
3.82	0.248115482039857	
3.83	0.248725852229377	
3.84	0.248115482039857	
3.85	0.248115482039857	
3.86	0.248115482039857	
3.87	0.248115482039857	
3.88	0.247505111850337	
3.89	0.247505111850337	
3.9	0.247505111850337	
3.91	0.247505111850337	
3.92	0.247505111850337	
3.93	0.246894741660817	
3.94	0.247199926755577	
3.95	0.246894741660817	
3.96	0.247505111850337	
3.97	0.246894741660817	
3.98	0.246894741660817	
3.99	0.246894741660817	
4	0.246894741660817	
4.01	0.246894741660817	
4.02	0.246894741660817	
4.03	0.246894741660817	
4.04	0.246894741660817	
4.05	0.245979186376537	
4.06	0.246284371471297	
4.07	0.246894741660817	
4.08	0.246284371471297	
4.09	0.246284371471297	
4.1	0.246284371471297	
4.11	0.246894741660817	
4.12	0.246284371471297	
4.13	0.246284371471297	
4.14	0.246589556566057	
4.15	0.246284371471297	
4.16	0.246284371471297	
4.17	0.246284371471297	
4.18	0.246894741660817	
4.19	0.246284371471297	
4.2	0.245674001281777	
4.21	0.246284371471297	
4.22	0.246284371471297	
4.23	0.246284371471297	
4.24	0.246284371471297	
4.25	0.246284371471297	
4.26	0.246284371471297	
4.27	0.246284371471297	
4.28	0.245674001281777	
4.29	0.246284371471297	
4.3	0.246284371471297	
4.31	0.246284371471297	
4.32	0.245979186376537	
4.33	0.246284371471297	
4.34	0.246284371471297	
4.35	0.246284371471297	
4.36	0.246284371471297	
4.37	0.246284371471297	
4.38	0.246284371471297	
4.39	0.246284371471297	
4.4	0.246284371471297	
4.41	0.246284371471297	
4.42	0.246284371471297	
4.43	0.246284371471297	
4.44	0.246589556566057	
4.45	0.246284371471297	
4.46	0.245979186376537	
4.47	0.246284371471297	
4.48	0.246284371471297	
4.49	0.246284371471297	
4.5	0.246284371471297	
4.51	0.246894741660817	
4.52	0.246284371471297	
4.53	0.246894741660817	
4.54	0.246284371471297	
4.55	0.246284371471297	
4.56	0.246894741660817	
4.57	0.246894741660817	
4.58	0.246284371471297	
4.59	0.246284371471297	
4.6	0.246284371471297	
4.61	0.246894741660817	
4.62	0.246894741660817	
4.63	0.246284371471297	
4.64	0.246894741660817	
4.65	0.246894741660817	
4.66	0.246284371471297	
4.67	0.246284371471297	
4.68	0.246894741660817	
4.69	0.246894741660817	
4.7	0.246284371471297	
4.71	0.246894741660817	
4.72	0.246284371471297	
4.73	0.246894741660817	
4.74	0.246894741660817	
4.75	0.246589556566057	
4.76	0.246894741660817	
4.77	0.246894741660817	
4.78	0.246894741660817	
4.79	0.246894741660817	
4.8	0.246894741660817	
4.81	0.246894741660817	
4.82	0.246894741660817	
4.83	0.246894741660817	
4.84	0.246894741660817	
4.85	0.246894741660817	
4.86	0.246894741660817	
4.87	0.246894741660817	
4.88	0.246894741660817	
4.89	0.246894741660817	
4.9	0.246894741660817	
4.91	0.246894741660817	
4.92	0.247199926755577	
4.93	0.247199926755577	
4.94	0.246894741660817	
4.95	0.247505111850337	
4.96	0.246894741660817	
4.97	0.246894741660817	
4.98	0.246894741660817	
4.99	0.246894741660817	
5	0.246894741660817	
5.01	0.247505111850337	
5.02	0.247505111850337	
5.03	0.247199926755577	
5.04	0.246894741660817	
5.05	0.247505111850337	
5.06	0.246894741660817	
5.07	0.246894741660817	
5.08	0.247505111850337	
5.09	0.247505111850337	
5.1	0.247505111850337	
5.11	0.247505111850337	
5.12	0.247505111850337	
