n_cycles,peak_mean,peak_std,peak_max,peak_min,CV_percent,AUC,SNR_dB,rise_slope,fall_slope,symmetry,period_mean,period_std,filename
9,0.015036649239975762,0.0002808394873965932,0.015748322787926,0.014774725612185997,1.8676999304470434,0.10409558311912004,32.17083985126019,0.032254146303764206,0.017814961890752944,1.8105088577543398,1.1437499999999972,0.13527171729522033,state_3_25_5_waves.xlsx
7,0.03565513307616288,0.0008390291195962518,0.03675567596926541,0.034198951416383405,2.3531790438251985,0.17879656516496742,35.38952481574595,0.058397733270554045,0.04354752840374249,1.3410114284588266,1.3799999999999955,0.08286535263102901,state_3_30_fast_5_waves.xlsx
28,0.03820021560566806,0.0009062818215025973,0.03939210850400007,0.03544330390909253,2.37245211089365,0.870610521615393,36.04910417981501,0.055250133140798914,0.04319685975770124,1.2790312409445177,1.4318518518518506,0.23466346331521437,state_3_30_fast_50_waves.xlsx
7,0.026699706089498326,0.001672919390609241,0.029324587796820678,0.024756766772992607,6.265684667095428,0.266778513656011,41.53279833271816,0.017833065444877057,0.017036321767864925,1.046767353180368,2.646666666666666,0.28493664013055253,state_3_30_medium_5_waves.xlsx
15,0.02830221229247211,0.006338642951932536,0.03314452626590415,0.006286134563359923,22.39628085052031,0.7109228191560282,40.187443421563,0.0176600970203114,0.01643829726606464,1.0743264180268266,2.5800000000000005,0.4188589943439803,state_3_30_medium_10_waves.xlsx
5,0.023640607360975723,0.0010324130669291823,0.025278988598907,0.022020346511916086,4.3671173551717555,0.3562984551471081,45.70994791933429,0.007803414435494063,0.005453881106341072,1.4308002472626797,6.662499999999994,0.8058341951046443,state_3_30_slow_5_waves.xlsx
9,0.006538786010016456,0.00032543930338361084,0.006996046848562599,0.006094187254515162,4.9770600060177195,0.0688258913928832,35.593623785025194,0.005185241592134357,0.005995881689212227,0.8648005182396492,1.8200000000000074,0.1527252434930096,state_4_5_5_waves.xlsx
7,0.006823183022381952,0.0005609727901328487,0.007663317542710421,0.006283623073930217,8.221570318320653,0.05223643531023252,35.071019307058975,0.0047606812686562805,0.005866466610134942,0.8115074345487111,1.7183333333333242,0.9657366215600733,state_4_10_5_waves.xlsx
15,0.009189086367050505,0.001734207063797331,0.011352641599642188,0.0059760997406296396,18.872464514162285,0.10932260687703503,36.10630831770392,0.010764550130339763,0.008001236724952326,1.3453607861357084,1.164285714285711,0.2618263952020262,state_4_15_5_waves.xlsx
7,0.014092499713051395,0.0008300599164849176,0.015080048218159411,0.012761555938061301,5.890082904995056,0.113773834429664,34.09271472283409,0.01045726485153284,0.025248036552727646,0.4141813098889505,1.613333333333344,0.14556403707267748,state_4_20_5_waves.xlsx
6,0.02223972608738568,0.00121601652597218,0.024231341878618293,0.020212292539911275,5.467767548908355,0.12897516187616642,39.1007579296343,0.031392992548105854,0.0258946864646691,1.2123333715949287,1.5900000000000092,0.2253885533917058,state_4_25_5_waves.xlsx
5,0.01900246118649026,0.00036120699308440105,0.01961446938165757,0.018528823245366147,1.9008432094112107,0.11977083110445394,32.04087086292668,0.015593812453705813,0.027496078657629604,0.5671285948761587,1.552500000000002,0.08671072598011494,State0_120_.xlsx
49,0.004825436725072125,0.0006073430817745543,0.006326251064229408,0.0033601646523028993,12.586282162170026,0.09946782787278573,26.210724317940386,0.009924583969301015,0.010060033962309048,0.9865358314379942,0.5375,0.09015033739999687,state1_5.xlsx
49,0.005499337291349633,0.0009364909057881656,0.008296684850095711,0.0037450660444312226,17.029159263630735,0.14066119909610908,30.271143564478777,0.011409643597090482,0.010340872694198623,1.103354033503522,0.6739583333333332,0.07886538064251664,state1_10.xlsx
79,0.00811197402760466,0.0021731822722188938,0.01201973829248049,0.0033320090426009878,26.789808064272126,0.2668036458803883,26.730643615707038,0.019579727230543114,0.01911077359453788,1.0245387050233943,0.591923076923077,0.0694125107379261,state1_15.xlsx
109,0.01226630419584554,0.0010262926068800276,0.01523704705572429,0.010660313189040167,8.36676304854417,0.6897272129734069,29.75404060096546,0.022904134127501932,0.02141519803193027,1.0695270757408661,0.6929629629629628,0.10798884766887022,state1_20.xlsx
